epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,846.53,0.81921,0.593,0.98052,0.98822,0.96429,0.99063,0.66195,1.15344,0.56445,1.15965,0.000544776,0.000544776,0.000544776
70,859.963,0.8054,0.59889,0.98744,0.98541,0.96429,0.98882,0.63516,1.23417,0.58092,1.216,0.000528272,0.000528272,0.000528272
71,873.567,0.77524,0.57657,0.95857,0.98553,0.96429,0.98882,0.6598,1.14308,0.57707,1.14439,0.000511769,0.000511769,0.000511769
72,886.297,0.78489,0.56257,0.95289,0.98642,0.96429,0.99063,0.68114,1.10253,0.55837,1.12635,0.000495266,0.000495266,0.000495266
73,899.117,0.77664,0.57405,0.96702,0.98846,0.96429,0.99267,0.66344,1.13455,0.54983,1.16365,0.000478762,0.000478762,0.000478762
74,912.205,0.7796,0.57496,0.96603,0.98638,0.96429,0.99267,0.67484,1.12269,0.54484,1.14959,0.000462259,0.000462259,0.000462259
75,926.049,0.7501,0.56561,0.96586,0.97543,0.99712,0.995,0.696,1.06652,0.53116,1.12471,0.000445756,0.000445756,0.000445756
76,939.376,0.76225,0.55655,0.96306,0.98941,1,0.995,0.67995,1.11576,0.5325,1.16461,0.000429253,0.000429253,0.000429253
77,951.652,0.80316,0.57709,0.96908,0.99293,1,0.995,0.67293,1.1444,0.54061,1.17427,0.000412749,0.000412749,0.000412749
78,965.081,0.78264,0.55451,0.9665,0.99244,1,0.995,0.67061,1.12616,0.51954,1.14469,0.000396246,0.000396246,0.000396246
79,977.317,0.82584,0.5567,0.96966,0.9916,1,0.995,0.68166,1.10907,0.52052,1.12608,0.000379743,0.000379743,0.000379743
80,990.117,0.76554,0.55733,0.96025,0.99083,1,0.995,0.68503,1.11273,0.51527,1.13572,0.000363239,0.000363239,0.000363239
81,1003.15,0.74998,0.52241,0.94362,0.99031,1,0.995,0.69808,1.05887,0.51051,1.0994,0.000346736,0.000346736,0.000346736
82,1015.58,0.76206,0.53146,0.95638,0.98838,1,0.995,0.69785,1.07107,0.51061,1.11086,0.000330233,0.000330233,0.000330233
83,1028.14,0.71072,0.52061,0.93962,0.98464,1,0.995,0.68999,1.08054,0.50473,1.10507,0.000313729,0.000313729,0.000313729
