epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2183.39,1.90238,1.80038,1.9437,0.75532,0.87868,0.80617,0.48089,1.50758,1.37152,1.7167,0.00118015,0.00118015,0.00118015
61,2219.78,1.91761,1.91915,2.02756,0.7144,0.76524,0.84906,0.52604,1.47296,1.29723,1.68026,0.0011719,0.0011719,0.0011719
62,2256.08,1.93515,1.82022,2.0113,0.87168,0.85714,0.88673,0.48816,1.50702,1.40793,1.73607,0.00116365,0.00116365,0.00116365
63,2292.83,1.88907,1.90115,2.0326,0.82203,0.7462,0.87388,0.5197,1.49795,1.4912,1.69023,0.0011554,0.0011554,0.0011554
64,2329.32,1.90525,1.84478,1.99591,0.80964,0.82154,0.83239,0.49515,1.50789,1.25749,1.69247,0.00114715,0.00114715,0.00114715
65,2365.63,1.78034,1.78484,1.90345,0.68927,0.7513,0.85355,0.51578,1.46706,1.26564,1.68086,0.00113889,0.00113889,0.00113889
66,2402.36,1.80429,1.71565,1.86111,0.76538,0.78479,0.81496,0.48217,1.48934,1.25104,1.71798,0.00113064,0.00113064,0.00113064
67,2438.69,1.83321,1.75934,1.93467,0.81443,0.8713,0.80818,0.5088,1.46792,1.21368,1.66729,0.00112239,0.00112239,0.00112239
68,2475.33,1.81242,1.70693,1.91079,0.7963,0.85714,0.85199,0.52674,1.46987,1.15187,1.70509,0.00111414,0.00111414,0.00111414
69,2511.84,1.7824,1.75023,1.91457,0.8115,0.92006,0.90956,0.51518,1.55196,1.16778,1.75791,0.00110589,0.00110589,0.00110589
70,2548.34,1.81573,1.87355,1.96918,0.84629,0.89308,0.89127,0.5552,1.44631,1.16694,1.66142,0.00109764,0.00109764,0.00109764
71,2584.85,1.75723,1.68465,1.85962,0.7383,0.78571,0.84155,0.54954,1.37967,1.18886,1.60402,0.00108938,0.00108938,0.00108938
72,2621.33,1.7532,1.64592,1.85951,0.75741,0.7973,0.83573,0.49061,1.55344,1.24097,1.71961,0.00108113,0.00108113,0.00108113
73,2657.61,1.7905,1.76581,1.91315,0.69758,0.88258,0.83935,0.49006,1.63621,1.31126,1.7627,0.00107288,0.00107288,0.00107288
